TERM,FREQ
download,52
firefox,503
doesn't,1
requirements,8
versions,12
beta,16
android,71
aurora,7
google,37
ios,45
update,30
devices,27
what’s,11
privacy,128
platforms,9
account,23
access,58
bookmarks,26
passwords,31
tabs,20
mobile,50
running,7
sync,61
everywhere,18
you’re,56
latest,28
cutting,3
features,55
release,11
feedback,13
refine,2
polish,2
newest,5
innovations,10
unstable,1
shape,18
are,199
power-user,1
comfortable,3
installing,4
pre-alpha,1
software,30
hunt,1
crashes,3
regressions,3
coded,1
esr,1
intended,4
deploy,1
desktop,33
made,19
volunteers,5
that’s,15
there’s,9
soul,1
developer,35
edition,21
contributions,3
mozilla,367
community,97
warning,1
daily,6
appropriate,8
core,5
contributors,16
adopters,1
regular,1
users,58
fully,2
localized,3
localizations,4
aren’t,1
we’re,34
perfect,5
multi-locale,1
search,40
matching,2
found,6
browser,111
tablets,3
web,298
customize,18
browsing,73
truly,6
trust,18
customizable,2
uniquely,3
smarter,4
sharing,10
adaptive,1
apps,25
faves,2
panels,2
content,23
favorite,11
feeds,1
instagram,1
pocket,1
instantly,2
touch,17
display,2
add,25
hide,3
delete,4
fit,1
engine,5
default,10
matches,1
easily,11
pleasant,1
reader,2
online,132
having,8
settings,14
restart,3
screen,4
video,15
smartphone,14
equipped,1
streaming,2
capabilities,3
info,13
belongs,4
tracking,54
protection,31
browse,15
cookies,15
block,3
hidden,5
parties,12
tap,9
guest,2
you’ll,13
other’s,2
don’t,29
vice,1
versa,1
urls,2
trac,6
enable,14
collected,13
activated,2
won’t,5
accept,3
you’ve,10
tour,6
welcome,8
committed,9
spot,3
closer,5
add-ons,30
it’s,44
fastest,6
flexible,6
older,5
clic,2
easier,9
frequently,3
seamless,3
button,12
location,31
menu,21
vision,8
let’s,4
previous,6
intuitive,3
putting,5
did,7
connect,18
redesigned,3
wild,1
explore,19
isn’t,5
file,8
bug,8
tips,18
filing,1
experimental,4
spin,1
pilot,1
pre-release,10
cutting-edge,5
automatically,11
tweaks,1
functionality,7
stable,2
about-to-be-released,1
incl,1
scale,7
built,18
earliest,1
brand,2
blog,15
apple’s,3
testflight,3
iphone,7
ipad,7
ipod,4
personalize,2
flexibility,1
click,27
awesome,8
dress,2
weather,4
tweet,6
photos,4
speed,10
king,4
faster,10
excels,1
technical,8
benchmarks,1
everyday,3
outperformed,1
independent,12
confidence,3
sacrificing,1
overall,5
gaming,2
aspect,2
limits,3
optimize,1
switching,1
getting,9
mac,9
linux,13
there's,1
date,12
we’ve,6
respect,13
proud,5
internet,209
anywhere,7
was,28
tom’s,1
hardware,3
grand,1
prix,1
xvi,1
quicker,1
simplify,2
arrange,2
tricks,6
time-saving,1
tools,54
bac,1
jump,2
has,60
select,15
drag,3
toolbar,8
magically,2
they’re,7
visible,4
congratulations,1
master,3
customizing,1
earned,2
ensure,19
site,23
who’s,4
lightbeam,34
exposes,1
interact,11
shine,3
secure,12
anti-phishing,1
anti-malware,1
trojan,2
horses,2
spyware,1
potentially,2
fraudulent,1
automatic,1
security,50
greatest,3
fixes,1
connections,2
website,20
faq,4
preference,10
undercover,1
introducing,2
global,36
non-profit,14
dedicated,7
debug,5
leaving,3
workflow,1
inspect,3
valence,3
powerful,6
pre-installed,3
extension,2
pixel-perfect,2
coding,13
target,1
responsive,3
css,8
built-in,3
editor,6
dev,8
extend,2
multiple,9
screenshot,1
visual,5
editing,4
html,15
animations,2
inspector,4
verify,3
alignment,1
dimensions,1
padding,1
element,2
ruler,1
measurement,1
devtools,2
challenger,6
edition’s,1
depths,2
ocean,1
strangest,1
creatures,1
examine,6
content’s,1
frame,1
consumption,1
js,1
profile,15
consolidated,2
timeline,3
troubleshoot,1
bottlenecks,1
changing,2
develop,12
audio,4
api,4
nodes,1
modify,2
layout,3
console,4
logged,1
associated,3
javascript,6
debugger,2
monitor,4
requests,6
stylesheets,1
complete,5
alongside,1
familiar,1
super,2
express,5
tracked,4
status,9
nonprofit,2
making,30
emphasize,1
principle,3
profit,4
resource,17
commodity,1
sold,2
crucial,1
aiming,3
insight,1
advertising,4
applications,7
opt-out,3
behavioral,4
third-party,4
transmitting,1
http,1
header,1
requested,3
behaves,1
swipe,1
pane,2
ads,13
generic,1
solutions,5
replace,1
anti-virus,2
encrypt,4
mechanism,1
interfere,2
zip,1
report,22
personalization,3
repetitive,1
typing,3
macos,4
os,57
companies,26
honor,1
initially,1
actively,9
implement,2
saving,1
managing,2
alex,1
fowler’s,1
mozilla’s,37
donottrackus,1
stanford,2
researchers,3
expression,2
dnt,1
wc,4
editor’s,2
draft,2
compliance,1
scope,2
ghostery,1
forum,5
stanford’s,2
submission,1
ietf,3
define,1
regardless,3
advanced,3
enabling,3
instructions,8
explorer,5
ie,3
’s,1
easiest,1
lineup,1
smart,19
hello,3
digital,42
footprint,3
geolocation,7
location-aware,7
located,1
relevant,7
useful,4
done,4
pizza,2
restaurant,1
further,6
extra,3
mapping,1
somewhere,2
optional,3
doesn’t,5
permission,11
utmost,1
ease,1
adoption,4
consent,4
gathers,1
nearby,2
wireless,5
computer’s,3
ip,5
address,29
provider,9
estimate,2
requesting,3
accurate,1
accuracy,2
varies,1
meters,1
guarantee,2
please,40
emergencies,1
sent,8
extremely,1
random,2
client,5
identifier,1
assigned,1
expires,1
description,4
eg,2
latitude,1
longitude,1
exchanged,1
spy,2
refer,2
website’s,1
am,5
approved,1
undo,1
granted,1
you've,1
given,3
revoke,1
here's,1
navigate,3
identification,1
arrow,1
permanently,1
opt-in,1
disable,7
aboutconfig,1
geoenabled,2
double,2
integrate,3
oops,1
error,3
occurred,2
interrupted,1
supportmozillaorg,1
preview,1
notified,1
launches,1
announcements,10
inbox,15
confirm,7
gearicons,1
icon,3
freedom,19
choosing,4
congrats,2
tune,2
refresh,1
fresh,1
copy,3
quickness,1
localizing,2
upgraded,1
pointers,1
documentation,6
